Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
46,TPE,0.129865073,34:58.5,35:12.5,0 days 00:00:14.013533,,MLP,,NONE,,FRAC,40,,,0.006543136,,234,,1,,,,,,,,0.11,,PRUNED,0
47,TPE,0.044554556,35:12.5,35:46.6,0 days 00:00:34.138830,,LR,,WPD,,STAT,,,,,0.253160036,,,0.9,,,,0.45,coif1,,,33.86,,PRUNED,0
48,TPE,0.179738729,35:46.6,35:48.1,0 days 00:00:01.441419,,KNN,,EMD,0.95,WAVE,,manhattan,4,,,,,0.95,,,,,,,,0.81,,PRUNED,0
49,TPE,0.290564939,35:48.1,36:42.6,0 days 00:00:54.536333,,RF,,WPD,,COV,,,,,,,,0.9,10,82,,1,coif1,,,52.16,,PRUNED,0
50,TPE,0.032826117,36:42.7,38:19.5,0 days 00:01:36.874425,0.040633926,SVM,5,WPD,,ENT,,,,,,,4,0.8,,,rbf,0.95,sym9,,,90.45,,PRUNED,0
51,TPE,0.3777,38:19.5,39:54.0,0 days 00:01:34.512759,,KNN,3,WPD,,ENT,,manhattan,9,,,,5,0.85,,,,0.95,coif1,60253.83,0.58,93.8,0.092535315,COMPLETE,0
52,TPE,0.4242,39:54.1,39:55.2,0 days 00:00:01.105993,,KNN,3,WPD,,ENT,,manhattan,7,,,,5,0.9,,,,0.95,coif1,60260.2,0.81,0.17,0.079975176,COMPLETE,0
53,TPE,0.5086,39:55.2,39:56.0,0 days 00:00:00.827317,,KNN,3,WPD,,ENT,,manhattan,4,,,,5,0.85,,,,0.95,coif1,60264.48,0.53,0.17,0.092871962,COMPLETE,0
54,TPE,0.58313,39:56.0,41:30.0,0 days 00:01:33.925043,,KNN,2,WPD,,ENT,,manhattan,3,,,,5,0.85,,,,0.95,coif1,60284.81,0.54,93.25,0.096885977,COMPLETE,0
55,TPE,0.073378109,41:30.0,41:31.0,0 days 00:00:01.024961,,KNN,5,EMD,0.75,ENT,,minkowski,3,,,,5,0.9,,,,,,,,0.46,,PRUNED,0
