Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
19,CMAES,-0.00964468,20:02.7,20:21.6,0 days 00:00:18.938624,0.000135693,SVM,,WPD,,COV,,,,,,,,0.85,,,rbf,0.95,sym9,,,0.62,,PRUNED,42
20,CMAES,0.067158618,20:21.6,20:26.7,0 days 00:00:05.052192,,MLP,,WPD,,STAT,,,,0.001723176,,4,,0.9,,,,0.85,coif1,,,0.37,,PRUNED,42
21,CMAES,0.18719,20:26.7,20:31.9,0 days 00:00:05.232714,0.000327808,SVM,,NONE,,COV,,,,,,,,0.9,,,linear,,,84838.18,4.56,0.49,0.033243189,COMPLETE,42
22,CMAES,0.19998,20:32.0,20:32.9,0 days 00:00:00.924046,,KNN,6,WPD,,ENT,,manhattan,14,,,,8,0.65,,,,0.45,db4,84838.18,0.49,0.26,0.09351162,COMPLETE,42
23,CMAES,0.056141474,20:32.9,20:33.2,0 days 00:00:00.265761,,LR,,NONE,,FRAC,33,,,,0.370705083,,,0.7,,,,,,,,0.12,,PRUNED,42
24,CMAES,0.068028013,20:33.2,20:34.3,0 days 00:00:01.095813,,KNN,,WPD,,WAVE,,minkowski,3,,,,,0.5,,,,0.9,sym9,,,0.51,,PRUNED,42
25,CMAES,0.1326,20:34.3,20:37.9,0 days 00:00:03.641696,,RF,7,WPD,,ENT,,,,,,,8,0.85,610,142,,1,sym9,84838.18,3.23,0.26,0.069305458,COMPLETE,42
26,CMAES,0.087092548,20:37.9,20:38.8,0 days 00:00:00.879620,,KNN,7,EMD,0.75,ENT,,minkowski,4,,,,6,0.85,,,,,,,,0.2,,PRUNED,42
27,CMAES,0.11192,20:38.8,20:41.9,0 days 00:00:03.069808,,RF,,EMD,0.1,FRAC,35,,,,,,,0.75,310,122,,,,84838.18,2.72,0.2,0.042841454,COMPLETE,42
28,CMAES,0.18482,20:41.9,20:46.6,0 days 00:00:04.684798,,RF,,WPD,,WAVE,,,,,,,,0.85,310,192,,0.55,db4,84838.18,4.05,0.48,0.045012493,COMPLETE,42
29,CMAES,-0.003383867,20:46.6,20:56.4,0 days 00:00:09.816500,0.089040673,SVM,,EMD,0.35,STAT,,,,,,,,0.65,,,sigmoid,,,,,0.36,,PRUNED,42
30,CMAES,0.060171218,20:56.4,20:59.0,0 days 00:00:02.548918,,MLP,,WPD,,WAVE,,,,0.003021978,,40,,0.65,,,,0.15,db4,,,0.47,,PRUNED,42
31,CMAES,0.089362286,20:59.0,21:01.1,0 days 00:00:02.059121,,RF,,EMD,0.4,STAT,,,,,,,,0.55,210,142,,,,,,0.62,,PRUNED,42
32,CMAES,0.10764,21:01.1,21:03.9,0 days 00:00:02.858798,,RF,11,WPD,,ENT,,,,,,,3,0.6,510,112,,0.05,db4,84838.18,2.49,0.21,0.068876066,COMPLETE,42
33,CMAES,0.086464779,21:04.0,21:05.0,0 days 00:00:01.065774,,KNN,,EMD,0.5,WAVE,,minkowski,18,,,,,0.55,,,,,,,,0.67,,PRUNED,42
34,CMAES,0.035377278,21:05.0,21:06.3,0 days 00:00:01.265222,,MLP,,NONE,,STAT,,,,0.002021707,,1,,0.6,,,,,,,,0.28,,PRUNED,42
35,CMAES,-0.016915228,21:06.3,21:19.8,0 days 00:00:13.446494,1.217195547,SVM,,EMD,0.95,WAVE,,,,,,,,0.95,,,sigmoid,,,,,0.5,,PRUNED,42
36,CMAES,0.07066683,21:19.8,21:21.6,0 days 00:00:01.789215,,RF,,WPD,,STAT,,,,,,,,0.55,510,142,,1,sym9,,,0.37,,PRUNED,42
37,CMAES,0.5437,21:21.6,21:56.5,0 days 00:00:34.952046,,MLP,,WPD,,COV,,,,0.002303913,,334,,0.9,,,,0.15,db4,84838.18,34,0.75,0.044810076,COMPLETE,42
38,CMAES,0.31817,21:56.5,21:58.5,0 days 00:00:01.916721,,KNN,,EMD,0.9,COV,,euclidean,7,,,,,0.75,,,,,,84864.45,0.88,0.85,0.044230957,COMPLETE,42
39,CMAES,0.089616541,21:58.5,21:59.4,0 days 00:00:00.894095,,LR,,NONE,,WAVE,,,,,0.151759712,,,0.9,,,,,,,,0.53,,PRUNED,42
40,CMAES,0.1199,21:59.4,22:01.4,0 days 00:00:02.042735,,RF,,NONE,,FRAC,30,,,,,,,0.9,210,42,,,,84876.07,1.73,0.15,0.046576042,COMPLETE,42
41,CMAES,0.12493,22:01.4,23:46.8,0 days 00:01:45.377895,,MLP,14,EMD,0.05,ENT,,,,0.016707385,,17,8,0.8,,,,,,84898.06,6.95,98.28,0.066162624,COMPLETE,42
42,CMAES,-0.002140204,23:46.8,24:11.4,0 days 00:00:24.600233,1.564913843,SVM,,NONE,,STAT,,,,,,,,1,,,rbf,,,,,0.22,,PRUNED,42
43,CMAES,0.213,24:11.5,25:25.7,0 days 00:01:14.255891,,RF,,WPD,,WAVE,,,,,,,,0.9,210,142,,0.45,db4,85034.42,3.39,70.7,0.046350498,COMPLETE,42
44,CMAES,0.026623721,25:25.7,27:11.3,0 days 00:01:45.572279,,MLP,4,EMD,0.25,ENT,,,,0.03161702,,1,8,0.8,,,,,,,,104.94,,PRUNED,42
45,CMAES,0.17831,27:11.3,27:18.4,0 days 00:00:07.065353,,RF,,NONE,,WAVE,,,,,,,,0.95,410,292,,,,85064.29,6.5,0.39,0.038021336,COMPLETE,42
46,CMAES,0.17187,27:18.4,27:20.9,0 days 00:00:02.499444,,RF,,WPD,,WAVE,,,,,,,,0.9,710,52,,0.9,db4,85069.55,1.74,0.58,0.060313492,COMPLETE,42
47,CMAES,0.30426,27:20.9,27:57.0,0 days 00:00:36.120444,,MLP,,EMD,0.3,WAVE,,,,0.004826527,,145,,0.95,,,,,,85081.16,35.43,0.53,0.046125431,COMPLETE,42
48,CMAES,0.066707502,27:57.1,27:58.0,0 days 00:00:00.907346,,KNN,,WPD,,STAT,,euclidean,16,,,,,0.95,,,,0.85,sym9,,,0.4,,PRUNED,42
49,CMAES,0,27:58.0,27:59.1,0 days 00:00:01.142246,,MLP,,EMD,0.9,WAVE,,,,0.063101151,,1,,0.5,,,,,,,,0.56,,PRUNED,42
50,CMAES,0.14485,27:59.1,28:02.8,0 days 00:00:03.650879,,RF,,NONE,,COV,,,,,,,,0.6,310,122,,,,85103.84,2.8,0.64,0.037817249,COMPLETE,42
51,CMAES,0.14973,28:02.8,28:42.5,0 days 00:00:39.724521,,MLP,,WPD,,FRAC,28,,,0.004661093,,31,,0.75,,,,0.5,db6,85122.24,9.71,29.87,0.056745796,COMPLETE,42
52,CMAES,0.03844174,28:42.5,28:43.6,0 days 00:00:01.096103,,MLP,,NONE,,STAT,,,,0.055704678,,21,,0.6,,,,,,,,0.26,,PRUNED,42
53,CMAES,0.23716,28:43.7,28:45.9,0 days 00:00:02.218870,,KNN,,WPD,,COV,,euclidean,12,,,,,0.55,,,,0.5,coif1,85126.8,1.3,0.75,0.047092934,COMPLETE,42
54,CMAES,0.039027699,28:45.9,28:47.8,0 days 00:00:01.955121,,MLP,,EMD,0.35,STAT,,,,0.038145765,,21,,0.65,,,,,,,,0.62,,PRUNED,42
55,CMAES,0.124347518,28:47.9,30:18.9,0 days 00:01:31.016142,,MLP,12,WPD,,ENT,,,,0.009114886,,8,4,0.9,,,,0.45,coif1,,,88.29,,PRUNED,42
56,CMAES,0.37896,30:18.9,30:20.7,0 days 00:00:01.780040,,KNN,,NONE,,COV,,minkowski,16,,,,,1,,,,,,85259.29,1.1,0.41,0.035539637,COMPLETE,42
57,CMAES,0.21005,30:20.7,30:21.8,0 days 00:00:01.142432,,KNN,,EMD,0.9,COV,,minkowski,16,,,,,0.6,,,,,,85269.94,0.37,0.61,0.046535749,COMPLETE,42
58,CMAES,0.112144,30:21.8,32:12.1,0 days 00:01:50.271170,,MLP,9,WPD,,ENT,,,,0.003397818,,219,6,0.55,,,,0.85,coif1,,,96.61,,PRUNED,42
59,CMAES,0.18668,32:12.1,33:08.7,0 days 00:00:56.595516,,RF,,WPD,,COV,,,,,,,,0.8,310,252,,0.8,db4,85412.24,7.31,49.05,0.045051355,COMPLETE,42
60,CMAES,0.16736,33:08.7,33:11.7,0 days 00:00:02.960429,,RF,,NONE,,COV,,,,,,,,0.95,310,32,,,,85450.27,2.21,0.53,0.053638477,COMPLETE,42
61,CMAES,0.045457927,33:11.7,33:12.4,0 days 00:00:00.653476,,KNN,,NONE,,STAT,,minkowski,3,,,,,0.9,,,,,,,,0.37,,PRUNED,42
62,CMAES,0.15717,33:12.4,33:14.2,0 days 00:00:01.775640,,KNN,,NONE,,COV,,euclidean,18,,,,,0.5,,,,,,85464.38,1.01,0.59,0.043699751,COMPLETE,42
63,CMAES,0.072142322,33:14.2,33:47.1,0 days 00:00:32.898252,,RF,,WPD,,FRAC,39,,,,,,,0.55,710,242,,0.3,coif1,,,30.85,,PRUNED,42
64,CMAES,-0.00994585,33:47.1,35:23.1,0 days 00:01:36.012230,0.00696036,SVM,14,NONE,,ENT,,,,,,,3,0.85,,,sigmoid,,,,,85.1,,PRUNED,42
65,CMAES,0.011917401,35:23.1,35:32.6,0 days 00:00:09.479350,0.014175209,SVM,5,NONE,,ENT,,,,,,,6,0.85,,,rbf,,,,,0.17,,PRUNED,42
66,CMAES,0.081482886,35:32.6,36:55.8,0 days 00:01:23.157809,,RF,8,EMD,1,ENT,,,,,,,2,0.75,210,32,,,,,,82.52,,PRUNED,42
67,CMAES,0.073265816,36:55.8,36:56.6,0 days 00:00:00.838355,,LR,,WPD,,WAVE,,,,,0.80060664,,,0.85,,,,0.75,db4,,,0.56,,PRUNED,42
68,CMAES,0.20361,36:56.6,38:14.5,0 days 00:01:17.888018,,MLP,,WPD,,WAVE,,,,0.019371149,,12,,0.9,,,,0.25,sym9,85613.32,5.47,72.26,0.045436163,COMPLETE,42
69,CMAES,0.067257362,38:14.6,38:15.6,0 days 00:00:01.071147,,LR,,WPD,,STAT,,,,,0.650360654,,,1,,,,0.3,sym9,,,0.34,,PRUNED,42
70,CMAES,0.052475816,38:15.6,38:16.1,0 days 00:00:00.412648,2.328714195,SVM,2,WPD,,ENT,,,,,,,7,0.75,,,linear,0.65,sym9,,,0.25,,PRUNED,42
71,CMAES,-0.033078195,38:16.1,38:29.6,0 days 00:00:13.542090,0.000657082,SVM,,WPD,,COV,,,,,,,,0.8,,,rbf,1,coif1,,,0.75,,PRUNED,42
72,CMAES,0.057235343,38:29.6,39:01.9,0 days 00:00:32.231762,,RF,,EMD,0.5,FRAC,34,,,,,,,0.5,710,222,,,,,,30.33,,PRUNED,42
73,CMAES,0.17859,39:01.9,39:03.3,0 days 00:00:01.386866,,KNN,1,NONE,,ENT,,minkowski,11,,,,8,0.65,,,,,,85706.53,1.09,0.14,0.047860641,COMPLETE,42
74,CMAES,0.092132131,39:03.3,39:34.2,0 days 00:00:30.893924,,RF,,EMD,0.45,FRAC,35,,,,,,,1,710,22,,,,,,30.26,,PRUNED,42
75,CMAES,0.056116279,39:34.2,39:36.4,0 days 00:00:02.263288,,RF,,NONE,,STAT,,,,,,,,0.6,410,202,,,,,,0.38,,PRUNED,42
76,CMAES,0.018235417,39:36.5,39:38.4,0 days 00:00:01.964634,,MLP,,NONE,,STAT,,,,0.041275456,,51,,0.65,,,,,,,,0.31,,PRUNED,42
77,CMAES,0.055910657,39:38.4,39:40.0,0 days 00:00:01.592897,,RF,,WPD,,STAT,,,,,,,,0.6,210,112,,0.5,coif1,,,0.34,,PRUNED,42
78,CMAES,0.048755648,39:40.0,39:40.6,0 days 00:00:00.607842,,LR,,WPD,,STAT,,,,,0.955528144,,,0.85,,,,0.9,db4,,,0.37,,PRUNED,42
79,CMAES,0.059379677,39:40.7,39:43.6,0 days 00:00:02.929027,,RF,,WPD,,STAT,,,,,,,,0.8,210,222,,0.2,db4,,,0.47,,PRUNED,42
80,CMAES,0.47038,39:43.6,40:16.3,0 days 00:00:32.727572,,MLP,,WPD,,WAVE,,,,0.002858641,,230,,0.95,,,,0.95,db4,85775.13,31.85,0.7,0.046915312,COMPLETE,42
81,CMAES,0.19363,40:16.3,40:18.5,0 days 00:00:02.122119,,LR,,NONE,,COV,,,,,0.216818126,,,0.95,,,,,,85813.16,1.24,0.63,0.036676416,COMPLETE,42
82,CMAES,-0.025468505,40:18.5,40:26.8,0 days 00:00:08.265360,0.387247683,SVM,,NONE,,STAT,,,,,,,,0.7,,,rbf,,,,,0.29,,PRUNED,42
83,CMAES,0.028598092,40:26.8,40:54.6,0 days 00:00:27.875206,,LR,,WPD,,FRAC,14,,,,0.800376472,,,0.5,,,,0.55,coif1,,,27.74,,PRUNED,42
84,CMAES,0.020940816,40:54.7,41:00.1,0 days 00:00:05.418913,0.000304356,SVM,,NONE,,WAVE,,,,,,,,0.75,,,rbf,,,,,0.39,,PRUNED,42
85,CMAES,0.065645765,41:00.1,41:00.5,0 days 00:00:00.379531,0.000435078,SVM,,NONE,,FRAC,3,,,,,,,0.9,,,linear,,,,,0.14,,PRUNED,42
86,CMAES,0.45573,41:00.5,41:43.2,0 days 00:00:42.769848,,MLP,,NONE,,COV,,,,0.002612288,,183,,1,,,,,,85944.96,42.11,0.39,0.035734186,COMPLETE,42
87,CMAES,0.098787661,41:43.3,41:44.5,0 days 00:00:01.254136,,LR,,EMD,0.65,COV,,,,,0.97561264,,,0.65,,,,,,,,0.8,,PRUNED,42
88,CMAES,0.031386024,41:44.5,41:45.6,0 days 00:00:01.059561,,KNN,,NONE,,STAT,,minkowski,3,,,,,0.5,,,,,,,,0.35,,PRUNED,42
89,CMAES,0.049475249,41:45.6,41:52.7,0 days 00:00:07.052230,,MLP,,NONE,,WAVE,,,,0.001304852,,495,,0.5,,,,,,,,0.57,,PRUNED,42
90,CMAES,0.08765261,41:52.7,43:23.5,0 days 00:01:30.864973,,RF,7,WPD,,ENT,,,,,,,4,0.65,510,192,,0.2,coif1,,,89.17,,PRUNED,42
91,CMAES,0.115742914,43:23.5,43:24.6,0 days 00:00:01.017476,,KNN,,EMD,0.15,WAVE,,manhattan,20,,,,,0.6,,,,,,,,0.56,,PRUNED,42
92,CMAES,0.079897936,43:24.6,43:25.0,0 days 00:00:00.416083,,LR,5,NONE,,ENT,,,,,0.955339153,,7,0.95,,,,,,,,0.19,,PRUNED,42
93,CMAES,0.01601022,43:25.0,43:25.6,0 days 00:00:00.619225,0.000563437,SVM,,EMD,0.05,WAVE,,,,,,,,0.75,,,linear,,,,,0.48,,PRUNED,42
94,CMAES,0.10538224,43:25.6,43:26.7,0 days 00:00:01.056548,,RF,,WPD,,WAVE,,,,,,,,0.55,710,32,,1,db6,,,0.51,,PRUNED,42
95,CMAES,0.150579778,43:26.7,45:11.5,0 days 00:01:44.776345,,MLP,14,WPD,,ENT,,,,0.01598686,,446,4,0.65,,,,0.15,coif1,,,88.42,,PRUNED,42
96,CMAES,0.120262956,45:11.5,45:12.5,0 days 00:00:00.986769,1.708329708,SVM,,NONE,,WAVE,,,,,,,,0.95,,,linear,,,,,0.4,,PRUNED,42
97,CMAES,0.27687,45:12.5,46:48.0,0 days 00:01:35.480515,,KNN,14,WPD,,ENT,,manhattan,5,,,,6,0.9,,,,0.6,sym9,86042.04,1.01,94.31,0.069364586,COMPLETE,42
98,CMAES,0.125973632,46:48.0,48:12.0,0 days 00:01:23.999834,,RF,12,WPD,,ENT,,,,,,,2,0.9,210,192,,0.8,sym9,,,82.07,,PRUNED,42
99,CMAES,0.080299663,48:12.0,49:50.0,0 days 00:01:37.989904,,MLP,8,WPD,,ENT,,,,0.024617066,,9,6,0.7,,,,0.1,db4,,,96.18,,PRUNED,42
100,CMAES,-0.000898753,49:50.0,51:20.5,0 days 00:01:30.456629,0.840397759,SVM,5,EMD,0.45,ENT,,,,,,,3,0.65,,,rbf,,,,,86.15,,PRUNED,42
101,CMAES,0.107122471,51:20.5,51:22.4,0 days 00:00:01.932068,,RF,,EMD,0.6,WAVE,,,,,,,,0.95,610,112,,,,,,0.58,,PRUNED,42
102,CMAES,0.124226205,51:22.4,52:35.1,0 days 00:01:12.634511,0.000852132,SVM,,WPD,,WAVE,,,,,,,,0.95,,,linear,0.45,coif1,,,72.09,,PRUNED,42
103,CMAES,0.101712783,52:35.1,53:59.9,0 days 00:01:24.811001,,RF,1,WPD,,ENT,,,,,,,2,0.95,210,72,,0.5,coif1,,,83.69,,PRUNED,42
104,CMAES,0.107596126,53:59.9,54:00.8,0 days 00:00:00.938043,,KNN,,EMD,0.2,WAVE,,euclidean,15,,,,,0.6,,,,,,,,0.51,,PRUNED,42
105,CMAES,-0.003936156,54:00.9,54:13.1,0 days 00:00:12.262880,0.411217431,SVM,,NONE,,STAT,,,,,,,,0.95,,,rbf,,,,,0.29,,PRUNED,42
106,CMAES,0.03118396,54:13.1,54:30.1,0 days 00:00:16.939508,0.019778775,SVM,,NONE,,COV,,,,,,,,0.9,,,rbf,,,,,0.61,,PRUNED,42
107,CMAES,0.017882494,54:30.1,54:31.1,0 days 00:00:01.017070,,MLP,9,NONE,,ENT,,,,0.008469597,,1,8,0.5,,,,,,,,0.17,,PRUNED,42
108,CMAES,0.089982058,54:31.1,54:32.5,0 days 00:00:01.426413,,RF,,NONE,,FRAC,22,,,,,,,0.9,1010,122,,,,,,0.14,,PRUNED,42
109,CMAES,0.073678248,54:32.6,55:56.3,0 days 00:01:23.713657,,MLP,14,NONE,,ENT,,,,0.01700576,,11,2,0.55,,,,,,,,82.17,,PRUNED,42
110,CMAES,0.32666,55:56.3,55:57.8,0 days 00:00:01.485254,,KNN,,NONE,,COV,,euclidean,15,,,,,0.75,,,,,,86304.53,0.85,0.48,0.035239468,COMPLETE,42
111,CMAES,0.063258353,55:57.8,57:37.7,0 days 00:01:39.926445,,MLP,10,WPD,,ENT,,,,0.044870037,,70,7,0.55,,,,0.5,db4,,,98.59,,PRUNED,42
112,CMAES,0.051540407,57:37.7,57:38.5,0 days 00:00:00.754176,,LR,,NONE,,COV,,,,,0.837057421,,,0.6,,,,,,,,0.51,,PRUNED,42
113,CMAES,0.039829823,57:38.5,57:39.3,0 days 00:00:00.814376,0.002001863,SVM,,NONE,,STAT,,,,,,,,0.85,,,linear,,,,,0.41,,PRUNED,42
114,CMAES,0.072095993,57:39.3,57:40.5,0 days 00:00:01.180029,,MLP,,NONE,,FRAC,31,,,0.066304091,,4,,0.95,,,,,,,,0.14,,PRUNED,42
115,CMAES,0.028360383,57:40.5,57:45.2,0 days 00:00:04.683706,0.022071905,SVM,12,NONE,,ENT,,,,,,,4,0.5,,,rbf,,,,,0.18,,PRUNED,42
116,CMAES,0.115253661,57:45.2,58:56.8,0 days 00:01:11.555409,,LR,,WPD,,WAVE,,,,,0.521493544,,,0.95,,,,0.1,sym9,,,71.04,,PRUNED,42
117,CMAES,0.024531667,58:56.8,59:03.8,0 days 00:00:06.974126,,MLP,,EMD,0.75,STAT,,,,0.015254372,,40,,0.8,,,,,,,,0.42,,PRUNED,42
118,CMAES,0.0844333,59:03.8,59:32.0,0 days 00:00:28.208056,,KNN,,WPD,,FRAC,12,minkowski,10,,,,,0.65,,,,0.65,db6,,,27.75,,PRUNED,42
119,CMAES,0.066133159,59:32.0,01:03.7,0 days 00:01:31.666297,,LR,11,WPD,,ENT,,,,,0.087184058,,5,0.7,,,,0.9,db6,,,91.48,,PRUNED,42
120,CMAES,0.024123259,01:03.7,01:32.2,0 days 00:00:28.553387,,MLP,,EMD,0.3,FRAC,4,,,0.001265525,,41,,0.5,,,,,,,,27.15,,PRUNED,42
121,CMAES,0.167801819,01:32.2,01:33.6,0 days 00:00:01.384752,,LR,,WPD,,COV,,,,,0.67870209,,,0.85,,,,0.95,db4,,,0.78,,PRUNED,42
122,CMAES,0.042969938,01:33.6,01:34.9,0 days 00:00:01.295435,,LR,,WPD,,COV,,,,,0.123090995,,,0.5,,,,0.85,coif1,,,1.04,,PRUNED,42
123,CMAES,0.039651838,01:34.9,03:12.4,0 days 00:01:37.511090,,RF,6,EMD,0.75,ENT,,,,,,,6,0.8,610,112,,,,,,96.39,,PRUNED,42
124,CMAES,0.056429142,03:12.5,03:13.1,0 days 00:00:00.683901,,KNN,,WPD,,STAT,,minkowski,13,,,,,0.85,,,,0.05,sym9,,,0.41,,PRUNED,42
125,CMAES,0.120871343,03:13.2,04:28.0,0 days 00:01:14.822201,,MLP,,WPD,,WAVE,,,,0.05981462,,4,,1,,,,1,coif1,,,71.81,,PRUNED,42
126,CMAES,0.056229767,04:28.0,06:04.7,0 days 00:01:36.748317,,KNN,3,EMD,0.35,ENT,,manhattan,7,,,,6,0.5,,,,,,,,96.35,,PRUNED,42
127,CMAES,0.48446,06:04.8,06:06.3,0 days 00:00:01.581974,,KNN,,WPD,,COV,,euclidean,5,,,,,0.75,,,,0.15,sym9,86741.13,0.75,0.66,0.045191307,COMPLETE,42
128,CMAES,0.17578,06:06.4,06:07.0,0 days 00:00:00.624788,,KNN,,NONE,,FRAC,35,minkowski,8,,,,,0.9,,,,,,86748.19,0.3,0.18,0.044490356,COMPLETE,42
129,CMAES,0.20263,06:07.0,06:17.1,0 days 00:00:10.109612,,MLP,,EMD,0.65,WAVE,,,,0.010492162,,11,,0.95,,,,,,86759.66,9.4,0.54,0.044190664,COMPLETE,42
130,CMAES,0.036155909,06:17.1,06:18.1,0 days 00:00:00.987634,,LR,,EMD,0.7,COV,,,,,0.997821074,,,0.5,,,,,,,,0.67,,PRUNED,42
131,CMAES,0.123970411,06:18.1,06:23.6,0 days 00:00:05.455683,,MLP,,EMD,0.45,COV,,,,0.001429877,,15,,0.5,,,,,,,,0.86,,PRUNED,42
132,CMAES,0.076887323,06:23.6,07:53.4,0 days 00:01:29.815840,,LR,5,EMD,0.1,ENT,,,,,0.050320989,,4,0.85,,,,,,,,89.57,,PRUNED,42
133,CMAES,0.055782735,07:53.4,07:54.5,0 days 00:00:01.079193,,RF,,NONE,,STAT,,,,,,,,0.85,910,32,,,,,,0.27,,PRUNED,42
134,CMAES,0.30263,07:54.5,07:55.6,0 days 00:00:01.118262,,KNN,1,NONE,,ENT,,euclidean,6,,,,6,0.9,,,,,,86800.46,0.8,0.16,0.045676012,COMPLETE,42
135,CMAES,0.029750639,07:55.6,08:26.3,0 days 00:00:30.643590,,KNN,,EMD,0.8,FRAC,36,manhattan,8,,,,,0.55,,,,,,,,30.22,,PRUNED,42
136,CMAES,0.041559729,08:26.3,08:26.9,0 days 00:00:00.588034,,LR,,WPD,,STAT,,,,,0.9660509,,,0.85,,,,0.15,sym9,,,0.35,,PRUNED,42
137,CMAES,0.086902736,08:26.9,08:27.9,0 days 00:00:01.034032,,LR,,EMD,0.9,COV,,,,,0.822197669,,,0.7,,,,,,,,0.61,,PRUNED,42
138,CMAES,0.054698492,08:27.9,09:03.6,0 days 00:00:35.697227,,RF,,WPD,,STAT,,,,,,,,0.7,210,222,,0.15,db6,,,33.56,,PRUNED,42
139,CMAES,0.021658812,09:03.7,09:04.4,0 days 00:00:00.699216,,LR,,NONE,,COV,,,,,0.46414875,,,0.5,,,,,,,,0.49,,PRUNED,42
140,CMAES,0,09:04.4,10:36.7,0 days 00:01:32.373431,,MLP,6,EMD,0.8,ENT,,,,0.003860266,,1,5,0.6,,,,,,,,91.71,,PRUNED,42
141,CMAES,0.18123,10:36.8,10:37.8,0 days 00:00:01.038545,,KNN,,EMD,0.5,COV,,minkowski,5,,,,,0.5,,,,,,86923.41,0.29,0.59,0.044442434,COMPLETE,42
142,CMAES,0.2023,10:37.8,10:40.0,0 days 00:00:02.138145,,LR,,WPD,,COV,,,,,0.57834057,,,0.9,,,,0.7,sym9,86956.05,1.2,0.73,0.06157711,COMPLETE,42
143,CMAES,0.27973,10:40.0,10:50.4,0 days 00:00:10.446307,,RF,,NONE,,WAVE,,,,,,,,1,210,162,,,,87035.01,9.85,0.34,0.038162241,COMPLETE,42
144,CMAES,0.115512274,10:50.4,10:55.3,0 days 00:00:04.849345,,RF,,WPD,,COV,,,,,,,,0.95,810,302,,1,coif1,,,0.73,,PRUNED,42
145,CMAES,0.085911661,10:55.3,11:34.3,0 days 00:00:39.001153,6.319431666,SVM,,EMD,0.2,FRAC,20,,,,,,,1,,,rbf,,,,,28.34,,PRUNED,42
146,CMAES,0,11:34.3,12:04.8,0 days 00:00:30.514278,,MLP,,EMD,0.85,FRAC,30,,,0.004398858,,2,,0.8,,,,,,,,29.59,,PRUNED,42
147,CMAES,0.061360898,12:04.8,12:14.8,0 days 00:00:09.986414,0.590642735,SVM,,WPD,,COV,,,,,,,,0.7,,,rbf,0.4,sym9,,,0.65,,PRUNED,42
148,CMAES,0.036951037,12:14.8,12:15.4,0 days 00:00:00.612800,,LR,,EMD,0.6,STAT,,,,,0.436670528,,,0.8,,,,,,,,0.39,,PRUNED,42
149,CMAES,0.099067087,12:15.5,12:16.6,0 days 00:00:01.094117,,KNN,,WPD,,WAVE,,euclidean,7,,,,,0.6,,,,0.85,sym9,,,0.66,,PRUNED,42
150,CMAES,0,12:16.6,12:43.7,0 days 00:00:27.150998,,LR,,EMD,0.55,FRAC,4,,,,0.416624172,,,0.5,,,,,,,,27.01,,PRUNED,42
151,CMAES,0.001336581,12:43.7,14:10.9,0 days 00:01:27.172264,,MLP,6,EMD,0.85,ENT,,,,0.026622122,,5,3,0.65,,,,,,,,86.23,,PRUNED,42
152,CMAES,0.051678095,14:10.9,14:15.0,0 days 00:00:04.093263,,MLP,,NONE,,STAT,,,,0.003393535,,1,,1,,,,,,,,0.26,,PRUNED,42
153,CMAES,0.086875719,14:15.0,14:17.7,0 days 00:00:02.717363,,KNN,,NONE,,STAT,,manhattan,14,,,,,1,,,,,,,,0.26,,PRUNED,42
154,CMAES,-0.000381207,14:17.7,14:28.4,0 days 00:00:10.643843,0.470131835,SVM,,EMD,0.05,COV,,,,,,,,0.9,,,sigmoid,,,,,0.8,,PRUNED,42
155,CMAES,0.117675087,14:28.4,16:13.1,0 days 00:01:44.718628,,MLP,11,WPD,,ENT,,,,0.006210225,,23,8,0.9,,,,0.3,sym9,,,100.02,,PRUNED,42
156,CMAES,0.06422478,16:13.1,16:14.0,0 days 00:00:00.820696,0.004680043,SVM,,EMD,0.8,WAVE,,,,,,,,0.8,,,linear,,,,,0.58,,PRUNED,42
157,CMAES,0.016638354,16:14.0,16:14.3,0 days 00:00:00.304630,,LR,,NONE,,FRAC,12,,,,0.277924991,,,0.55,,,,,,,,0.15,,PRUNED,42
158,CMAES,0.077274413,16:14.3,16:15.2,0 days 00:00:00.906402,,KNN,,WPD,,WAVE,,euclidean,5,,,,,0.6,,,,0.1,sym9,,,0.48,,PRUNED,42
159,CMAES,0.114723926,16:15.2,16:16.1,0 days 00:00:00.907843,,KNN,,EMD,0.15,WAVE,,minkowski,6,,,,,0.65,,,,,,,,0.49,,PRUNED,42
160,CMAES,0.098425028,16:16.1,16:19.1,0 days 00:00:02.923264,,RF,,WPD,,STAT,,,,,,,,1,910,122,,0.05,coif1,,,0.37,,PRUNED,42
161,CMAES,0.012939876,16:19.1,16:20.8,0 days 00:00:01.759343,,MLP,,NONE,,STAT,,,,0.00250346,,1,,0.85,,,,,,,,0.31,,PRUNED,42
162,CMAES,-0.007188889,16:20.8,17:05.0,0 days 00:00:44.152937,1.557611587,SVM,,EMD,0.55,WAVE,,,,,,,,1,,,sigmoid,,,,,0.46,,PRUNED,42
